state,district_name,odop_product_name,odop_gi_tag,min_setup_cost,max_setup_cost,gross_margin_d2c,breakeven_timeline,opportunity_score,why_this_district,page_slug
Jammu and Kashmir,Anantnag,Trout Fish,No,350000,2500000,50-65%,9-16 months,8,"Anantnag district sits in Kashmir Valley with innumerable freshwater resources ideal for trout cultivation. The district has been officially designated as the Trout District of the country, with five active production clusters (Achabal, Khulchohar, Akad, Nambal, Chattapal) and a government-built Common Incubation Centre at Achabal with ₹2.45 crore investment in processing equipment. Proximity to Srinagar and Delhi markets, combined with cool climate conditions, makes this the natural hub for high-value trout production.",trout-fish-anantnag
Jammu and Kashmir,Bandipora,Crewal Based Shawl,No,180000,650000,58-72%,10-16 months,6,"Bandipora has massive livestock infrastructure with 300,000+ sheep and established breeder networks across 7,200 registered operations. Raw wool sourcing is immediate and localized. The district sits on Kashmir's primary textile heritage corridor with proximity to Srinagar markets (90 km) and Delhi wholesale textile hubs (500 km by road).",crewal-based-shawl-bandipora
Jammu and Kashmir,Baramulla,Apples,No,2500000,8000000,50-65%,24-36 months,,"Baramulla's elevation of 1,600-2,000 meters, cool alpine climate, and volcanic soil create ideal conditions for premium apple cultivation. The region receives optimal rainfall and temperature variation essential for developing the distinctive sweetness and aroma Baramulla apples are celebrated for globally.",apples-baramulla
Jammu and Kashmir,Budgam,Kani Shawls,No,300000,1500000,60-75%,18-24 months,7,"Budgam sits in Kashmir Valley where Changra goats provide premium pashmina wool (12–15 microns). The Arwah village cluster in Beerwah tehsil has concentrated artisan families practicing 14th-century Kani weaving techniques. Buyers span European luxury markets, Indian elite, and growing D2C platforms.",kani-shawls-budgam
Jammu and Kashmir,Doda,Natural Oils (Lavender),No,250000,1200000,50-65%,10-16 months,6,"Doda's 1,500m+ altitude, cool monsoon climate, and well-drained soil create ideal conditions for lavender yield 2-3x higher than Indian plains. The district has 150 active lavender nurseries clustered in Khellani Top, Druddu, and Neota, with established supply chains to Srinagar and Delhi beauty brand buyers.",natural-oils-lavender-doda
Jammu and Kashmir,Ganderbal,Wicker Willow,No,150000,750000,60-75%,10-16 months,,"Ganderbal's unique geography along the Indus Valley provides ideal growing conditions for willow trees, with abundant water supply and fertile soil creating a natural raw material advantage. The district has a legacy of skilled artisans trained in traditional weaving techniques passed down through generations, making it naturally suited for high-quality wicker production.",wicker-willow-ganderbal
Jammu and Kashmir,Jammu,Basmati Rice,No,800000,5000000,50-65%,10-16 months,8,"Jammu's location in the Himalayan foothills with rich alluvial soil and cool climate creates ideal conditions for premium basmati cultivation. The district has direct access to raw paddy supplies from surrounding agricultural areas and proximity to major export gateways via NH1A. Despite Punjab and Haryana commanding 75% of national exports, Jammu's basmati carries distinct quality markers and untapped export capacity.",basmati-rice-jammu
Jammu and Kashmir,Kathua,Basholi Pashmina,No,150000,800000,52-68%,10-16 months,8,"Kathua's Basohli cluster sits at 1876 ft altitude on the Ravi riverbank, directly adjacent to Changthangi goat-rearing regions of Himalayan plateaus. The district has a centuries-old artisan base of 200+ skilled pashmina weavers concentrated in Basohli town. Buyers span Delhi luxury boutiques, international shawl importers, and wedding-season wholesale markets across North India.",basholi-pashmina-kathua
Jammu and Kashmir,Kishtwar,Saffron,No,150000,500000,60-75%,10-16 months,8,"Kishtwar sits at 5351 feet elevation in high-altitude valleys ideal for Crocus sativus cultivation, with 8 established saffron clusters (Matta, Hidyal, Tund, Nagini, Bera-Bhatta, Begana, Hatta, Pochhal) and generations of skilled farmer knowledge. The district's isolation from mainstream J&K saffron trade (235 km from Jammu) creates a differentiated market position. Raw material supply is hyperlocal — growers can source crocus flowers directly from neighboring farm clusters.",saffron-kishtwar
Jammu and Kashmir,Kulgam,Garlic,No,180000,850000,52-68%,9-16 months,7,"Kulgam's fertile soil and cool climate create ideal conditions for garlic cultivation with high allicin concentration. The district has established suppliers like Baghel Agro Industries with proven export infrastructure. Proximity to Kashmir Valley's major markets and direct access to Delhi, Mumbai via NH networks accelerates buyer acquisition.",garlic-kulgam
Jammu and Kashmir,Kupwara,Walnut,No,250000,1200000,50-65%,9-16 months,8,"Kupwara sits in Kashmir's agro-climatic zone ideal for walnut cultivation, with consistent supply from surrounding orchards. The district is part of J&K's export-designated zone for walnuts, giving direct market access to international buyers. Raw material is locally available year-round from established walnut groves with established supply chains to Srinagar and Budgam processing centers.",walnut-kupwara
Jammu and Kashmir,Poonch,Pecannut,No,350000,1200000,50-65%,18-24 months,6,"Poonch has suitable altitude, soil type, and climate for pecan cultivation—conditions unsuitable for apple and walnut. The district sits alongside Rajouri as the primary pecan-growing area in J&K. Proximity to Himalayan foothills ensures consistent crop quality and pest control.",pecannut-poonch
Jammu and Kashmir,Pulwama,Saffron,No,250000,1500000,60-75%,12-18 months,8,"Pulwama is in Kashmir's core saffron belt where soil, climate, and water conditions are ideal for Crocus sativus cultivation. The district has centuries-old farming expertise and proximity to major Indian spice markets (Delhi, Mumbai) and international buyers. Raw material (seeds, bulbs) is sourced locally from established nurseries.",saffron-pulwama
Jammu and Kashmir,Rajouri,Walnut,No,250000,1500000,50-65%,10-16 months,8,"Rajouri's fertile orchards and cool climate provide ideal conditions for walnut cultivation. Raw materials are sourced locally from the 2,630 sq km district with established walnut farming communities. Proximity to major Indian markets and export gateways in Delhi-NCR (250 km) and Srinagar (180 km) enables quick distribution.",walnut-rajouri
Jammu and Kashmir,Ramban,Honey,No,250000,1500000,58-70%,10-16 months,7,"Ramban sits at the foothills of the Himalayas with abundant Sulai (Plectranthus rugosus) flora naturally distributed across the district, supported by acacia and mustard flower fields. The region's beekeeping tradition is strong, with August-October being prime honey collection season when flower nectar peaks. Proximity to Srinagar (120km), Jammu (100km), and Delhi markets ensures established buyer networks.",honey-ramban
Jammu and Kashmir,Reasi,Aromatic Plants,No,250000,1500000,60-75%,10-16 months,,"Reasi's high-altitude temperate climate, rich biodiversity, and unique soil composition create ideal conditions for growing rare aromatic plants including saffron precursors, lavender, mint species, and medicinal herbs. The district's proximity to Himalayan foothills and traditional knowledge of cultivation passed through generations make it naturally suited for premium aromatic plant production.",aromatic-plants-reasi
Jammu and Kashmir,Samba,Mushroom,No,200000,1500000,50-65%,10-16 months,6,"Samba sits in the foothills of the Shivalik Himalayas with year-round favorable weather for mushroom cultivation. Raw materials — compost, casing material, and spawn — are locally sourced or easily accessible from Punjab supply chains. With 39,219 farming families and 91,374 hectares of district land, there is established agricultural infrastructure and buyer networks already in place.",mushroom-samba
Jammu and Kashmir,Shopian,Apple,No,150000,8500000,50-65%,18-24 months,8,"Shopian's elevation of 2,146m and cool mountain climate create ideal growing conditions for premium apple varieties. The district's rich fertile soils, combined with abundant sunshine and winter temperatures dropping to -7°C, naturally select for high-quality fruit. Located 51km from Srinagar and 20km from Pulwama, farmers have direct market access to Kashmir Valley buyers and Delhi/national distribution hubs.",apple-shopian
Jammu and Kashmir,Srinagar,Silk Carpet (Hand Knotted Carpet),No,350000,1500000,60-75%,12-18 months,8,"Srinagar has 600+ years of carpet weaving tradition dating to Sultan Zain-ul-Abidin's 15th-century Persia-Kashmir exchange. Pure Mulberry silk production thrives locally, eliminating raw material transport costs. The district clusters skilled artisans trained in 200-900 knots/sq.inch density work, with direct access to Delhi-Mumbai luxury markets and global carpet importers.",silk-carpet-hand-knotted-carpet-srinagar
